"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
21,,81.750000,82.000000,0,82,0,0,yes,1.000000
20,,47707603.081323,119436203.770336,0,14,0,0,yes,1.000000
19,,205595432.137848,331279467.496834,0,16,0,0,yes,1.000000
18,,6912402.709697,12301291.664910,0,1,0,0,yes,1.000000
17,,454391920.707954,633099343.283188,0,29,0,0,yes,1.000000
16,,296351780.189224,579565996.702360,0,18,0,0,yes,1.000000
15,,26205526.782636,39810432.764454,0,6,0,0,yes,1.000000
14,,12003992.311404,29408502.184461,0,8,0,0,yes,1.000000
13,,17863544.902068,18954073.307448,0,4,0,0,yes,1.000000
12,,705066430.688418,707764419.006889,0,11,0,0,yes,1.000000
11,,1003817025.933365,1122135210.124936,0,18,0,0,yes,1.000000
10,,1102896837.645510,1424608772.574766,0,16,0,0,yes,1.000000
9,,12125270.957123,22378849.608722,0,5,0,0,yes,1.000000
8,,2340142025.314821,3488166273.076001,0,32,0,0,yes,1.000000
7,,752792545.536678,764020444.705831,0,9,0,0,yes,1.000000
6,,566484374.762822,751569635.339118,0,10,0,0,yes,1.000000
5,,1003389069.255157,1904081425.844776,0,15,0,0,yes,1.000000
4,,290422897.200464,337527758.186775,0,9,0,0,yes,1.000000
3,,1493331560.256336,1509487736.700131,0,19,0,0,yes,1.000000
2,,426394164.332597,436295990.704321,0,6,0,0,yes,1.000000
1,,222112856.130479,256237024.065664,0,6,0,0,yes,1.000000
