"Conservation Feature","Feature Name","Target","Amount Held","Occurrence Target ","Occurrences Held","Separation Target ","Separation Achieved","Target Met","MPM"
21,,81.750000,82.000000,0,82,0,0,yes,1.000000
20,,47707603.081323,48484280.731841,0,6,0,0,yes,1.000000
19,,205595432.137848,424849885.603344,0,18,0,0,yes,1.000000
18,,6912402.709697,29070686.284932,0,3,0,0,yes,1.000000
17,,454391920.707954,483867794.695877,0,15,0,0,yes,1.000000
16,,296351780.189224,709734819.821720,0,18,0,0,yes,1.000000
15,,26205526.782636,41132909.639471,0,7,0,0,yes,1.000000
14,,12003992.311404,30666733.526146,0,6,0,0,yes,1.000000
13,,17863544.902068,22770741.379149,0,5,0,0,yes,1.000000
12,,705066430.688418,713220219.609675,0,11,0,0,yes,1.000000
11,,1003817025.933365,1034559371.780536,0,15,0,0,yes,1.000000
10,,1102896837.645510,1319297547.410808,0,15,0,0,yes,1.000000
9,,12125270.957123,15391046.656334,0,5,0,0,yes,1.000000
8,,2340142025.314821,2565950594.519385,0,24,0,0,yes,1.000000
7,,752792545.536678,770374678.122653,0,10,0,0,yes,1.000000
6,,566484374.762822,878556013.374002,0,10,0,0,yes,1.000000
5,,1003389069.255157,1145970703.111416,0,10,0,0,yes,1.000000
4,,290422897.200464,345168876.371306,0,11,0,0,yes,1.000000
3,,1493331560.256336,1501769716.659167,0,20,0,0,yes,1.000000
2,,426394164.332597,525912997.351720,0,5,0,0,yes,1.000000
1,,222112856.130479,229299733.012865,0,5,0,0,yes,1.000000
