"planning_unit","number"
652,0
651,0
650,0
649,0
648,0
647,0
646,0
645,0
644,0
643,0
642,0
641,0
640,0
639,0
638,0
637,0
636,0
635,0
634,0
633,0
632,0
631,0
630,0
629,0
628,0
627,1
626,2
625,2
624,5
623,5
622,5
621,0
620,0
619,1
618,0
617,0
616,0
615,0
614,5
613,5
612,6
611,11
610,11
609,7
608,0
607,0
606,0
605,0
604,0
603,3
602,3
601,8
600,12
599,20
598,22
597,11
596,2
595,0
594,3
593,0
592,0
591,2
590,6
589,9
588,11
587,17
586,23
585,26
584,21
583,8
582,0
581,0
580,0
579,0
578,5
577,11
576,17
575,31
574,38
573,38
572,30
571,20
570,13
569,3
568,0
567,2
566,0
565,0
564,5
563,16
562,26
561,53
560,63
559,63
558,57
557,34
556,17
555,6
554,0
553,1
552,0
551,0
550,8
549,24
548,39
547,68
546,84
545,86
544,69
543,59
542,39
541,14
540,7
539,1
538,18
537,0
536,0
535,13
534,34
533,49
532,74
531,84
530,92
529,96
528,73
527,66
526,34
525,13
524,0
523,3
522,0
521,0
520,11
519,32
518,55
517,70
516,90
515,90
514,94
513,41
512,27
511,43
510,10
509,0
508,2
507,0
506,0
505,0
504,20
503,19
502,43
501,52
500,70
499,89
498,42
497,6
496,0
495,0
494,0
493,0
492,0
491,0
490,0
489,0
488,10
487,20
486,24
485,26
484,27
483,0
482,10
481,20
480,0
479,0
478,0
477,0
476,0
475,0
474,11
473,17
472,18
471,8
470,0
469,32
468,9
467,0
466,0
465,0
464,0
463,7
462,15
461,20
460,1
459,0
458,21
457,0
456,0
455,4
454,24
453,30
452,3
451,4
450,20
449,0
448,0
447,21
446,26
445,4
444,0
443,0
442,0
441,13
440,24
439,3
438,7
437,0
436,0
435,6
434,21
433,20
432,4
431,12
430,0
429,0
428,4
427,22
426,22
425,1
424,6
423,0
422,0
421,6
420,17
419,31
418,23
417,9
416,1
415,0
414,0
413,3
412,13
411,25
410,21
409,4
408,15
407,0
406,0
405,2
404,10
403,20
402,23
401,0
400,18
399,0
398,0
397,5
396,13
395,28
394,14
393,7
392,2
391,0
390,0
389,5
388,18
387,27
386,21
385,2
384,8
383,0
382,0
381,6
380,14
379,25
378,25
377,0
376,9
375,0
374,0
373,3
372,10
371,36
370,26
369,1
368,10
367,0
366,0
365,4
364,12
363,31
362,36
361,19
360,3
359,2
358,0
357,0
356,4
355,8
354,25
353,42
352,34
351,9
350,16
349,1
348,0
347,0
346,0
345,16
344,30
343,47
342,39
341,34
340,17
339,44
338,0
337,0
336,10
335,31
334,49
333,45
332,6
331,8
330,35
329,0
328,0
327,9
326,35
325,53
324,51
323,13
322,11
321,1
320,0
319,0
318,11
317,33
316,54
315,70
314,24
313,8
312,0
311,0
310,0
309,8
308,25
307,39
306,67
305,35
304,14
303,0
302,0
301,1
300,15
299,30
298,36
297,13
296,12
295,0
294,0
293,0
292,14
291,24
290,35
289,8
288,10
287,0
286,0
285,0
284,12
283,27
282,24
281,7
280,9
279,0
278,0
277,24
276,38
275,38
274,12
273,9
272,0
271,0
270,0
269,0
268,30
267,52
266,52
265,65
264,27
263,0
262,0
261,0
260,0
259,0
258,27
257,50
256,57
255,58
254,41
253,14
252,0
251,0
250,0
249,6
248,21
247,46
246,57
245,53
244,43
243,60
242,0
241,0
240,0
239,0
238,1
237,21
236,36
235,44
234,39
233,37
232,20
231,23
230,0
229,0
228,0
227,0
226,7
225,12
224,27
223,39
222,44
221,39
220,24
219,15
218,42
217,0
216,0
215,0
214,0
213,2
212,9
211,12
210,27
209,43
208,42
207,38
206,31
205,23
204,26
203,35
202,0
201,0
200,0
199,0
198,0
197,11
196,11
195,14
194,25
193,34
192,39
191,33
190,28
189,20
188,14
187,28
186,18
185,0
184,0
183,0
182,0
181,0
180,2
179,13
178,24
177,30
176,29
175,27
174,30
173,32
172,27
171,18
170,8
169,18
168,13
167,0
166,0
165,0
164,6
163,10
162,21
161,32
160,31
159,24
158,19
157,30
156,30
155,29
154,19
153,7
152,11
151,4
150,0
149,0
148,0
147,10
146,25
145,23
144,29
143,27
142,24
141,19
140,18
139,22
138,30
137,32
136,15
135,10
134,0
133,0
132,0
131,12
130,19
129,21
128,22
127,22
126,25
125,23
124,20
123,17
122,24
121,41
120,77
119,30
118,0
117,0
116,0
115,0
114,12
113,15
112,13
111,19
110,21
109,20
108,17
107,12
106,21
105,28
104,82
103,39
102,22
101,0
100,0
99,7
98,13
97,15
96,21
95,15
94,16
93,19
92,18
91,18
90,16
89,25
88,19
87,15
86,7
85,0
84,0
83,6
82,15
81,19
80,18
79,15
78,12
77,13
76,20
75,21
74,27
73,15
72,13
71,10
70,0
69,0
68,0
67,5
66,14
65,10
64,15
63,18
62,12
61,13
60,33
59,29
58,37
57,19
56,13
55,0
54,0
53,0
52,3
51,6
50,6
49,10
48,11
47,20
46,3
45,15
44,18
43,36
42,7
41,0
40,0
39,0
38,7
37,6
36,5
35,7
34,8
33,33
32,15
31,14
30,2
29,0
28,0
27,0
26,4
25,2
24,6
23,17
22,2
21,0
20,0
19,0
18,0
17,0
16,0
15,0
14,33
13,1
12,0
11,0
10,0
9,0
8,2
7,32
6,6
5,0
4,0
3,18
2,61
1,1
0,12
