"Run_Number","Score","Cost","Planning_Units","Connectivity","Connectivity_Total","Connectivity_In","Connectivity_Edge","Connectivity_Out","Connectivity_In_Fraction","Penalty","Shortfall","Missing_Values","MPM"
1,149.073456,102.000000,102,235.000000,1800.000000,181.000000,235.000000,1384.000000,0.100556,0.073456,3232.336425,1,0.999989
2,149.200000,101.000000,101,241.000000,1800.000000,175.000000,241.000000,1384.000000,0.097222,0.000000,0.000000,0,1.000000
3,150.600000,99.000000,99,258.000000,1800.000000,164.000000,258.000000,1378.000000,0.091111,0.000000,0.000000,0,1.000000
4,153.800000,100.000000,100,269.000000,1800.000000,162.000000,269.000000,1369.000000,0.090000,0.000000,0.000000,0,1.000000
5,151.400000,99.000000,99,262.000000,1800.000000,161.000000,262.000000,1377.000000,0.089444,0.000000,0.000000,0,1.000000
6,151.200000,98.000000,98,266.000000,1800.000000,155.000000,266.000000,1379.000000,0.086111,0.000000,0.000000,0,1.000000
7,144.400000,100.000000,100,222.000000,1800.000000,183.000000,222.000000,1395.000000,0.101667,0.000000,0.000000,0,1.000000
8,152.600000,98.000000,98,273.000000,1800.000000,151.000000,273.000000,1376.000000,0.083889,0.000000,0.000000,0,1.000000
9,155.600000,101.000000,101,273.000000,1800.000000,161.000000,273.000000,1366.000000,0.089444,0.000000,0.000000,0,1.000000
10,149.400000,101.000000,101,242.000000,1800.000000,174.000000,242.000000,1384.000000,0.096667,0.000000,0.000000,0,1.000000
11,149.800000,98.000000,98,259.000000,1800.000000,161.000000,259.000000,1380.000000,0.089444,0.000000,0.000000,0,1.000000
12,165.600000,102.000000,102,318.000000,1800.000000,140.000000,318.000000,1342.000000,0.077778,0.000000,0.000000,0,1.000000
13,146.600000,101.000000,101,228.000000,1800.000000,180.000000,228.000000,1392.000000,0.100000,0.000000,0.000000,0,1.000000
14,154.000000,102.000000,102,260.000000,1800.000000,170.000000,260.000000,1370.000000,0.094444,0.000000,0.000000,0,1.000000
15,152.200000,102.000000,102,251.000000,1800.000000,170.000000,251.000000,1379.000000,0.094444,0.000000,0.000000,0,1.000000
16,157.000000,100.000000,100,285.000000,1800.000000,152.000000,285.000000,1363.000000,0.084444,0.000000,0.000000,0,1.000000
17,151.000000,101.000000,101,250.000000,1800.000000,174.000000,250.000000,1376.000000,0.096667,0.000000,0.000000,0,1.000000
18,151.000000,102.000000,102,245.000000,1800.000000,174.000000,245.000000,1381.000000,0.096667,0.000000,0.000000,0,1.000000
19,151.600000,102.000000,102,248.000000,1800.000000,175.000000,248.000000,1377.000000,0.097222,0.000000,0.000000,0,1.000000
20,150.400000,100.000000,100,252.000000,1800.000000,168.000000,252.000000,1380.000000,0.093333,0.000000,0.000000,0,1.000000
21,149.200000,101.000000,101,241.000000,1800.000000,176.000000,241.000000,1383.000000,0.097778,0.000000,0.000000,0,1.000000
22,155.200000,100.000000,100,276.000000,1800.000000,156.000000,276.000000,1368.000000,0.086667,0.000000,0.000000,0,1.000000
23,155.200000,103.000000,103,261.000000,1800.000000,171.000000,261.000000,1368.000000,0.095000,0.000000,0.000000,0,1.000000
24,160.600000,105.000000,105,278.000000,1800.000000,163.000000,278.000000,1359.000000,0.090556,0.000000,0.000000,0,1.000000
25,150.600000,99.000000,99,258.000000,1800.000000,163.000000,258.000000,1379.000000,0.090556,0.000000,0.000000,0,1.000000
26,147.000000,99.000000,99,240.000000,1800.000000,172.000000,240.000000,1388.000000,0.095556,0.000000,0.000000,0,1.000000
27,152.200000,101.000000,101,256.000000,1800.000000,167.000000,256.000000,1377.000000,0.092778,0.000000,0.000000,0,1.000000
28,151.600000,100.000000,100,258.000000,1800.000000,162.000000,258.000000,1380.000000,0.090000,0.000000,0.000000,0,1.000000
29,152.400000,100.000000,100,262.000000,1800.000000,164.000000,262.000000,1374.000000,0.091111,0.000000,0.000000,0,1.000000
30,147.200000,104.000000,104,216.000000,1800.000000,192.000000,216.000000,1392.000000,0.106667,0.000000,0.000000,0,1.000000
31,157.000000,97.000000,97,300.000000,1800.000000,136.000000,300.000000,1364.000000,0.075556,0.000000,0.000000,0,1.000000
32,153.000000,102.000000,102,255.000000,1800.000000,170.000000,255.000000,1375.000000,0.094444,0.000000,0.000000,0,1.000000
33,149.400000,101.000000,101,242.000000,1800.000000,175.000000,242.000000,1383.000000,0.097222,0.000000,0.000000,0,1.000000
34,152.200000,101.000000,101,256.000000,1800.000000,166.000000,256.000000,1378.000000,0.092222,0.000000,0.000000,0,1.000000
35,145.600000,98.000000,98,238.000000,1800.000000,169.000000,238.000000,1393.000000,0.093889,0.000000,0.000000,0,1.000000
36,156.600000,99.000000,99,288.000000,1800.000000,147.000000,288.000000,1365.000000,0.081667,0.000000,0.000000,0,1.000000
37,149.800000,102.000000,102,239.000000,1800.000000,176.000000,239.000000,1385.000000,0.097778,0.000000,0.000000,0,1.000000
38,151.800000,103.000000,103,244.000000,1800.000000,172.000000,244.000000,1384.000000,0.095556,0.000000,0.000000,0,1.000000
39,151.600000,102.000000,102,248.000000,1800.000000,174.000000,248.000000,1378.000000,0.096667,0.000000,0.000000,0,1.000000
40,153.400000,102.000000,102,257.000000,1800.000000,167.000000,257.000000,1376.000000,0.092778,0.000000,0.000000,0,1.000000
41,143.600000,102.000000,102,208.000000,1800.000000,196.000000,208.000000,1396.000000,0.108889,0.000000,0.000000,0,1.000000
42,152.000000,100.000000,100,260.000000,1800.000000,164.000000,260.000000,1376.000000,0.091111,0.000000,0.000000,0,1.000000
43,153.200000,99.000000,99,271.000000,1800.000000,157.000000,271.000000,1372.000000,0.087222,0.000000,0.000000,0,1.000000
44,154.400000,101.000000,101,267.000000,1800.000000,162.000000,267.000000,1371.000000,0.090000,0.000000,0.000000,0,1.000000
45,151.400000,101.000000,101,252.000000,1800.000000,169.000000,252.000000,1379.000000,0.093889,0.000000,0.000000,0,1.000000
46,150.200000,100.000000,100,251.000000,1800.000000,166.000000,251.000000,1383.000000,0.092222,0.000000,0.000000,0,1.000000
47,149.400000,99.000000,99,252.000000,1800.000000,166.000000,252.000000,1382.000000,0.092222,0.000000,0.000000,0,1.000000
48,151.800000,101.000000,101,254.000000,1800.000000,171.000000,254.000000,1375.000000,0.095000,0.000000,0.000000,0,1.000000
49,148.600000,101.000000,101,238.000000,1800.000000,177.000000,238.000000,1385.000000,0.098333,0.000000,0.000000,0,1.000000
50,150.000000,100.000000,100,250.000000,1800.000000,169.000000,250.000000,1381.000000,0.093889,0.000000,0.000000,0,1.000000
51,146.800000,100.000000,100,234.000000,1800.000000,178.000000,234.000000,1388.000000,0.098889,0.000000,0.000000,0,1.000000
52,147.800000,100.000000,100,239.000000,1800.000000,174.000000,239.000000,1387.000000,0.096667,0.000000,0.000000,0,1.000000
53,154.200000,100.000000,100,271.000000,1800.000000,158.000000,271.000000,1371.000000,0.087778,0.000000,0.000000,0,1.000000
54,147.400000,98.000000,98,247.000000,1800.000000,165.000000,247.000000,1388.000000,0.091667,0.000000,0.000000,0,1.000000
55,145.000000,102.000000,102,215.000000,1800.000000,188.000000,215.000000,1397.000000,0.104444,0.000000,0.000000,0,1.000000
56,155.600000,102.000000,102,268.000000,1800.000000,166.000000,268.000000,1366.000000,0.092222,0.000000,0.000000,0,1.000000
